Temporada,Episodio,Hablante,Frase,Key Lemmas,Evil Count Level 1: Selfish Evil,Evil Count Level 2: Manipulative Evil,Evil Count Level 3: Aggressive Evil,Evil Count Level 4: Dehumanizing Evil,Evil Count Level 5: Sadistic Evil,Hubris Count Arrogance and Pride,Hubris Count Disregard for Rules,Hubris Count Excessive Emotions,Hubris Count Grandiosity and Transcendence,Hubris Count Power and Control,Hubris Count Self-Justification,Total Evil Count,Total Hubris Count
1,1,walter,my name is walter hartwell white i live at 308 negra arroyo lane albuquerque new mexico 87104 to all law enforcement entities this is not an admission of guilt i am speaking to my family now skyler you are the love of my life i hope you know that walter junior youre my big man there are going to be some things things that youll come to learn about me in the next few days i just want you to know that no matter how it may look i only had you in my heart goodbye,name walter hartwell white live negra arroyo lane albuquerque new mexico law enforcement entity admission guilt speaking family skyler love life hope know walter junior youre big man going thing thing youll come learn next day want know matter may look heart goodbye,19,3,19,19,3,19,19,19,6,19,19,63,101
1,1,skyler,happy birthday,happy birthday,2,1,2,2,1,2,2,2,2,2,2,8,12
1,1,walter,look at that,look,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,skyler,that is veggie bacon believe it or not zero cholesterol you wont even taste the difference what time do you think youll be home,veggie bacon believe zero cholesterol wont even taste difference time think youll home,2,2,2,2,1,2,2,2,3,2,2,9,13
1,1,walter,same time,time,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,skyler,i dont want him dicking you around tonight you get paid till 5 you work till 5 no later,dont want dicking around tonight get paid till work till later,4,0,4,4,4,4,4,4,1,4,4,16,21
1,1,walter,hey,hey,0,0,0,0,0,0,0,0,1,0,0,0,1
1,1,walter jr,happy birthday,happy birthday,2,1,2,2,1,2,2,2,2,2,2,8,12
1,1,walter,well thank you,thank,1,0,1,1,0,1,1,1,1,1,1,3,6
1,1,skyler,youre late again,youre late,1,0,1,1,0,1,1,1,0,1,1,3,5
1,1,walter jr,there was no hot water again,hot water,1,0,1,1,0,1,1,1,1,1,1,3,6
1,1,skyler,i have an easy fix for that you wake up early and then you get to be the first person in the shower,easy fix wake early get first person shower,3,0,3,3,0,3,3,3,1,3,3,9,16
1,1,walter jr,i have an idea how about buy a new hot water heater hows that idea for the millionth and billionth time,idea buy new hot water heater hows idea millionth billionth time,4,2,4,4,2,4,4,4,5,4,4,16,25
1,1,skyler,did you take your echinacea,take echinacea,3,0,3,3,0,3,3,3,1,3,3,9,16
1,1,walter,yeah i think its getting better,yeah think getting better,1,1,1,1,0,1,1,1,2,1,1,4,7
1,1,walter jr,what the hell is this,hell,0,0,0,0,0,0,0,0,1,0,0,0,1
1,1,walter,its veggie bacon were watching our cholesterol i guess,veggie bacon watching cholesterol guess,2,1,2,2,0,2,2,2,2,2,2,7,12
1,1,walter jr,not me i want real bacon not this fake crap,want real bacon fake crap,5,1,5,5,0,5,5,5,0,5,5,16,25
1,1,skyler,too bad eat it,bad eat,2,1,2,2,1,2,2,2,0,2,2,8,10
1,1,walter jr,this smells like bandaids,smell bandaids,2,1,2,2,2,2,2,2,0,2,2,9,10
