Keyword,Level
smoke,Level 3: Aggressive Evil
stash,Level 3: Aggressive Evil
high,Level 3: Aggressive Evil
cut,Level 3: Aggressive Evil
fix,Level 3: Aggressive Evil
slang,Level 3: Aggressive Evil
stash house,Level 3: Aggressive Evil
runner,Level 3: Aggressive Evil
whack,Level 5: Sadistic Evil
shank,Level 5: Sadistic Evil
racketeer,Level 4: Dehumanizing Evil
fugitive,Level 4: Dehumanizing Evil
bust,Level 3: Aggressive Evil
hustle,Level 3: Aggressive Evil
mob,Level 4: Dehumanizing Evil
mug,Level 3: Aggressive Evil
lie low,Level 4: Dehumanizing Evil
grift,Level 3: Aggressive Evil
boss,Level 4: Dehumanizing Evil
capo,Level 4: Dehumanizing Evil
lieutenant,Level 4: Dehumanizing Evil
made man,Level 3: Aggressive Evil
muscle,Level 3: Aggressive Evil
enforcer,Level 3: Aggressive Evil
pigs,Level 3: Aggressive Evil
rat,Level 4: Dehumanizing Evil
snitch,Level 4: Dehumanizing Evil
piece,Level 3: Aggressive Evil
strap,Level 3: Aggressive Evil
heat,Level 4: Dehumanizing Evil
dirty cop,Level 4: Dehumanizing Evil
murder,Level 5: Sadistic Evil
kill,Level 5: Sadistic Evil
assassinate,Level 5: Sadistic Evil
drugs,Level 3: Aggressive Evil
sell drugs,Level 3: Aggressive Evil
drug dealing,Level 3: Aggressive Evil
cook,Level 3: Aggressive Evil
cook cocaine,Level 3: Aggressive Evil
drug cooking,Level 3: Aggressive Evil
fuck,Level 3: Aggressive Evil
shit,Level 3: Aggressive Evil
bastard,Level 3: Aggressive Evil
son of a bitch,Level 3: Aggressive Evil
asshole,Level 3: Aggressive Evil
dumbass,Level 3: Aggressive Evil
motherfucker,Level 3: Aggressive Evil
prick,Level 5: Sadistic Evil
rape,Level 5: Sadistic Evil
stab,Level 5: Sadistic Evil
shoot,Level 5: Sadistic Evil
overdose,Level 4: Dehumanizing Evil
deal drugs,Level 3: Aggressive Evil
sell meth,Level 3: Aggressive Evil
cook meth,Level 4: Dehumanizing Evil
violence,Level 4: Dehumanizing Evil
crime,Level 3: Aggressive Evil
meth,Level 3: Aggressive Evil
blue,Level 3: Aggressive Evil
ice,Level 3: Aggressive Evil
crystal,Level 4: Dehumanizing Evil
deal,Level 3: Aggressive Evil
cartel,Level 3: Aggressive Evil
money laundering,Level 3: Aggressive Evil
gun,Level 3: Aggressive Evil
gang,Level 5: Sadistic Evil
tuco,Level 5: Sadistic Evil
tortuga,Level 5: Sadistic Evil
DEA,Level 5: Sadistic Evil
extortion,Level 5: Sadistic Evil
kidnap,Level 4: Dehumanizing Evil
torture,Level 5: Sadistic Evil
mass murder,Level 3: Aggressive Evil
shooting,Level 4: Dehumanizing Evil
execution,Level 3: Aggressive Evil
criminal empire,Level 5: Sadistic Evil
hired killer,Level 4: Dehumanizing Evil
abandon,Level 4: Dehumanizing Evil
betray,Level 3: Aggressive Evil
corrupt,Level 4: Dehumanizing Evil
abuse,Level 4: Dehumanizing Evil
violate,Level 3: Aggressive Evil
blackmail,Level 4: Dehumanizing Evil
dominate,Level 3: Aggressive Evil
lowlife,Level 3: Aggressive Evil
scum,Level 3: Aggressive Evil
traitor,Level 4: Dehumanizing Evil
coward,Level 4: Dehumanizing Evil
snake,Level 3: Aggressive Evil
drug cartel,Level 3: Aggressive Evil
smoke,Level 3: Aggressive Evil
stash,Level 3: Aggressive Evil
high,Level 3: Aggressive Evil
cut,Level 3: Aggressive Evil
fix,Level 3: Aggressive Evil
slang,Level 3: Aggressive Evil
stash house,Level 3: Aggressive Evil
runner,Level 3: Aggressive Evil
whack,Level 5: Sadistic Evil
shank,Level 5: Sadistic Evil
racketeer,Level 4: Dehumanizing Evil
fugitive,Level 4: Dehumanizing Evil
bust,Level 3: Aggressive Evil
hustle,Level 3: Aggressive Evil
mob,Level 4: Dehumanizing Evil
mug,Level 3: Aggressive Evil
lie low,Level 4: Dehumanizing Evil
grift,Level 3: Aggressive Evil
boss,Level 4: Dehumanizing Evil
capo,Level 4: Dehumanizing Evil
lieutenant,Level 4: Dehumanizing Evil
made man,Level 3: Aggressive Evil
muscle,Level 3: Aggressive Evil
enforcer,Level 3: Aggressive Evil
pigs,Level 3: Aggressive Evil
rat,Level 4: Dehumanizing Evil
snitch,Level 4: Dehumanizing Evil
piece,Level 3: Aggressive Evil
strap,Level 3: Aggressive Evil
heat,Level 4: Dehumanizing Evil
dirty cop,Level 4: Dehumanizing Evil
murder,Level 5: Sadistic Evil
kill,Level 5: Sadistic Evil
assassinate,Level 5: Sadistic Evil
drugs,Level 3: Aggressive Evil
sell drugs,Level 3: Aggressive Evil
drug dealing,Level 3: Aggressive Evil
cook,Level 3: Aggressive Evil
cook cocaine,Level 3: Aggressive Evil
drug cooking,Level 3: Aggressive Evil
fuck,Level 3: Aggressive Evil
shit,Level 3: Aggressive Evil
bastard,Level 3: Aggressive Evil
son of a bitch,Level 3: Aggressive Evil
asshole,Level 3: Aggressive Evil
dumbass,Level 3: Aggressive Evil
motherfucker,Level 3: Aggressive Evil
prick,Level 5: Sadistic Evil
rape,Level 5: Sadistic Evil
stab,Level 5: Sadistic Evil
shoot,Level 5: Sadistic Evil
