Season,Episode,Speaker,Line
1,1,walter,my name is walter hartwell white i live at 308 negra arroyo lane albuquerque new mexico 87104 to all law enforcement entities this is not an admission of guilt i am speaking to my family now skyler you are the love of my life i hope you know that walter junior youre my big man there are going to be some things things that youll come to learn about me in the next few days i just want you to know that no matter how it may look i only had you in my heart goodbye
1,1,skyler,happy birthday
1,1,walter,look at that
1,1,skyler,that is veggie bacon believe it or not zero cholesterol you wont even taste the difference what time do you think youll be home
1,1,walter,same time
1,1,skyler,i dont want him dicking you around tonight you get paid till 5 you work till 5 no later
1,1,walter,hey
1,1,walter jr,happy birthday
1,1,walter,well thank you
1,1,skyler,youre late again
1,1,walter jr,there was no hot water again
1,1,skyler,i have an easy fix for that you wake up early and then you get to be the first person in the shower
1,1,walter jr,i have an idea how about buy a new hot water heater hows that idea for the millionth and billionth time
1,1,skyler,did you take your echinacea
1,1,walter,yeah i think its getting better
1,1,walter jr,what the hell is this
1,1,walter,its veggie bacon were watching our cholesterol i guess
1,1,walter jr,not me i want real bacon not this fake crap
1,1,skyler,too bad eat it
1,1,walter jr,this smells like bandaids
1,1,skyler,eat it
1,1,walter jr,so hows it feel to be old
1,1,walter,how does it feel to be a smart ass
1,1,walter jr,good
1,1,walter,eat your veggie bacon
1,1,walter,you all set
1,1,walter jr,yeah im fine
1,1,walter,all right see you at home
1,1,walter jr,okay see you
1,1,walter,chemistry it is the study of what anyone ben
1,1,walter,chemicals no chemistry is well technically chemistry is the study of matter but i prefer to see it as the study of change now just just think about this electrons they change their energy levels molecules molecules change their bonds elements they combine and change into compounds well thats all of life right i mean its just its the constant its the cycle its solution dissolution just over and over and over it is growth then decay then transformation it is fascinating really chad is there something wrong with your table okay ionic bonds are you done ionic bonds chapter 6
1,1,walter,and 2 3 makes 10 and 10 makes 20 heres your receipt and hand this claiming disc to your car wash professional thank you come again
1,1,walter,bogdan no we talked about this
1,1,walter jr,happy birthday dad
1,1,skyler,youre so very late
1,1,marie,shes showing a little
1,1,skyler,carmen this is my sister marie
1,1,marie,hi
1,1,hank,glck 22 its my daily carry okay i mean unless youre talking what plus pplus loads you can forget the 9mil all right ive seen one of those bounce off a windshield one time
1,1,steve,yeah the way you sht
1,1,hank,if youre gonna bring a gn you gotta bring enough gn 40 caliber
1,1,walter jr,this is awesome right here
1,1,hank,nice isnt it
1,1,walter jr,dad come check this out
1,1,walter,yeah i see it
1,1,walter jr,come on take it
1,1,hank,check it out walt
1,1,walter,no no its just heavy
1,1,hank,thats why they hire men jesus its not gonna bite you all right looks like keith richards with a glass of warm milk doesnt he hey walt everybody listen up listen up listen up im gonna give a toast a little toast to my brotherinlaw come here walt you got a brain the size of wisconsin but were not gonna hold that against you because your hearts in the right place man your hearts in the right place we love you man we love you everybody to walt nostrovia
1,1,hank,oh shit turn on channel 3
1,1,hank,at which point we apprehended three individuals and placed them into custody im proud to say the outstanding professionalism of my fellow agents at the albuquerque district office resulted in a substantial amount of methamphetamine being taken off the streets
1,1,hank,no maam our agents took the suspects by surprise
1,1,steve,damn the tv does add ten pounds
1,1,marie,ten pounds
1,1,hank,hey sit and spin both of you
1,1,skyler,hank
1,1,hank,what sorry you didnt see that
1,1,skyler,so charming
1,1,hank,this is clearly an ongoing operation one which was well organized
1,1,walter,hank how much money is that
1,1,hank,its about 700 grand thats a pretty good haul huh
1,1,hank,as i say its a good day for the citizens of albuquerque when we can put this big a dent in the local drug trade
1,1,walter,wow but thats unusual isnt it that kind of cash
1,1,hank,well its not the most we ever took its easy money until we catch you walt just say the word and ill take you on a ridealong you can watch us knock down a meth lab get a little excitement in your life
1,1,walter,well someday
1,1,walter,which ones this
1,1,skyler,that fauxlalique vase i picked up at the superswap
1,1,walter,hows it doing
1,1,skyler,i met my reserve and theres still two minutes
1,1,walter,whats up
1,1,skyler,you tell me birthday boy oh hey so whats up for saturday
1,1,walter,car wash bogdan says he needs me
1,1,skyler,until what time noon 1ish
1,1,walter,probably 2 more like it
1,1,skyler,and then what after that
1,1,walter,actually i was thinking of driving up to los alamos the visitor center has an exhibit on thats really supposed to be
1,1,skyler,youre not gonna paint
1,1,walter,ill paint its just that this part of this exhibition on the mars rover photographs are the detail really is just supposed to be amazing
1,1,skyler,its just that i really need you to paint at some point i mean the sooner that back bedroom gets finished and id do it myself except you said you dont want me standing on the stepladder
1,1,walter,ill paint i will paint
1,1,skyler,what is going on down there
1,1,walter,no its just
1,1,skyler,is he asleep
1,1,walter,no its nothing you know just you know we gotta be careful about the baby
1,1,skyler,dont worry about the baby this is just for you we are just doing you tonight so just close your eyes relax and let it close your eyes
1,1,walter,okay
1,1,skyler,there you go thats it thats it there you go keep it going keep it going keep it going keep yes 56
1,1,walter,this is so embarrassing i am fine honestly its just some bug going around first my wife had it then my son and now me its just like a chest cold could be some low blood sugar as well i didnt have the greatest breakfast this morning honestly hey listen can you do me a favor can you just drop me off at a corner somewhere
1,1,walter,its just that i dont have the greatest insurance
1,1,walter,god no
1,1,walter,no never why do you ask
1,1,walter,yes
1,1,walter,yes lung cancer inoperable
1,1,walter,bestcase scenario with chemo ill live maybe another couple years its just youve got mustard on yourright there mustard there right there
1,1,skyler,so my records show that i paid it and i certainly dont feel that we owe any lateall right well ill check with the bank and maybe the post office if they lost it or something yeah let me look into that okay thank you did you use the mastercard last month
1,1,walter,we needed printer paper
1,1,skyler,walt the mastercards the one we dont use
1,1,walter,okay
1,1,skyler,so how was your day
1,1,walter,oh i dont know i dont know it was um it was fine
1,1,walter,what
1,1,walter,fck you bogdan
1,1,walter,i said fck you and your eyebrows wipe down this
1,1,walter,uh hank hank its walt hey oh listen i didnt wake you did i oh good good no no nothings wrong i just uh ive been uh thinking about that offer that ridealong
1,1,hank,its the last house on the right see it not the twostory one the one next to it the kind of i dont know what do you call that green
1,1,steve,sage
1,1,hank,sage what do you work at the fcking pottery barn jesus
1,1,steve,sage thats the word for it my fault the only word your dumb ass knows is green
1,1,hank,cheese dck i know that one how bout that anyway its the sage one see it
1,1,walter,so what tells you its a meth lab
1,1,hank,just our snitch says some dude goes by capn cook lives up to his name in there says he always adds a dash of chili powder ah you exuberant mexicans
1,1,steve,uhuh capn cook thats a white boys name dopey as hell too
1,1,hank,yeah tell you what i got 20 bucks that says hes a baner
1,1,steve,all right youre on
1,1,hank,all right come on come on all right school bus is clear got the green light
1,1,hank,watch this this makes em shit
1,1,hank,meth labs are nasty on a good day you mix that shit wrong you got mustard gas
1,1,walter,phosphine gas i think
1,1,hank,yeah exactly one whiff will kll you thats why the respirators
1,1,hank,copy that the suspect might he be of the latino persuasion
1,1,steve,asian pay up sucker
1,1,hank,hey hey hey first name emilio thats at least half a baner tell you what ill let you off for a 10 cheer up gomey you people still got j lo
1,1,walter,hank do you think i might get to go inside see the actual lab
1,1,hank,yeah yeah i tell you what were gonna go peek our heads in check it out first stay here a minute
1,1,jesse,god
1,1,walter,oh my god pinkman
1,1,walter,its me im alone
1,1,jesse,howd you find me
1,1,walter,youre still in our filing system so your aunt owns this place right
1,1,jesse,i own it
1,1,walter,no ones looking for you
1,1,jesse,why are you here
1,1,walter,i was curious honestly i never expected you to amount to much but methamphetamine i didnt picture that theres a lot of money in it huh
1,1,jesse,i dont know what youre talking about
1,1,walter,no
1,1,jesse,not a clue
1,1,walter,capn cook thats not you like i said no one is looking for you
1,1,jesse,look i dont know what you think youre doing here mr white i mean if youre planning on giving me some bowl winder about getting right with jesus by turning myself in
1,1,walter,not really
1,1,jesse,high school was a long time ago you aint welcome back kotter so step off no speeches
1,1,walter,short speech you lost your partner today whats his name emilio emilio is going to prison the dea took all your money your lab you got nothing square 1 but you know the business and i know the chemistry im thinking maybe you and i could partner up
1,1,jesse,you want to cook crystal meth you you and uh and me
1,1,walter,thats right either that or i turn you in
1,1,marie,what the hell is this
1,1,skyler,damned if i know i described it as mosaic folk art
1,1,marie,somebody bought it
1,1,skyler,yeah some guy in minneapolis 14 dollars plus shipping
1,1,marie,yes at this rate in 50 or 60 years youll be rich so how goes the novel
1,1,skyler,its not a novel actually which i have
1,1,marie,youre not writing a novel you told me you were
1,1,skyler,no short stories i said that if eventually i have enough good ones that maybe ill try and publish another collection
1,1,marie,those really didnt sell i just thought a novel would be easier to sell
1,1,skyler,yeah well maybe so
1,1,marie,ever want me to read anything i could critique it for you
1,1,skyler,no i mean im not at that stage where ino
1,1,marie,open offer so whats up with walt lately
1,1,skyler,what do you mean hes fine
1,1,marie,he just seems i dont know quieter than usual
1,1,skyler,turning 50 is a big deal i mean im sure as hell not looking forward to 40 youre gonna be a complete basket case
1,1,marie,so its a midlife crisis
1,1,skyler,no hes just quiet
1,1,marie,hows the sex
1,1,skyler,marie jesus
1,1,marie,guess that answers that
1,1,walter,you just gonna sit there this look at this kjeldahlstyle recovery flask very rare you got your usual paraphernalia griffin beakers your erlenmeyer flask but the piece de resistance a round bottom boiling flask
1,1,jesse,well i cook in one of those the big one
1,1,walter,one of these no this is a volumetric flask you wouldnt cook in one of these
1,1,jesse,yeah i do
1,1,walter,no you dont a volumetric flask is for general mixing and titration you wouldnt apply heat to a volumetric flask thats what a boiling flask is for did you learn nothing from my chemistry class
